DayOfWeek,HourOfDay,RideToRequestRatio
Friday,17:00:00-17:59:59,0.71
Friday,18:00:00-18:59:59,0.583
Friday,19:00:00-19:59:59,0.574
Friday,20:00:00-20:59:59,0.584
Friday,21:00:00-21:59:59,0.498
Friday,22:00:00-22:59:59,0.62
Friday,23:00:00-23:59:59,0.451
Saturday,00:00:00-00:59:59,0.499
Saturday,01:00:00-01:59:59,0.699
Saturday,02:00:00-02:59:59,0.751
Saturday,03:00:00-03:59:59,0.695
Saturday,04:00:00-04:59:59,0.632
Saturday,05:00:00-05:59:59,0.66
Saturday,06:00:00-06:59:59,0.692
Saturday,07:00:00-07:59:59,0.706
Saturday,08:00:00-08:59:59,0.604
Saturday,09:00:00-09:59:59,0.627
Saturday,10:00:00-10:59:59,0.684
Saturday,11:00:00-11:59:59,0.769
Saturday,12:00:00-12:59:59,0.664
Saturday,13:00:00-13:59:59,0.719
Saturday,14:00:00-14:59:59,0.671
Saturday,15:00:00-15:59:59,0.695
Saturday,16:00:00-16:59:59,0.69
Saturday,17:00:00-17:59:59,0.607
Saturday,18:00:00-18:59:59,0.578
Saturday,19:00:00-19:59:59,0.615
Saturday,20:00:00-20:59:59,0.671
Saturday,21:00:00-21:59:59,0.749
Saturday,22:00:00-22:59:59,0.67
Saturday,23:00:00-23:59:59,0.655
Sunday,00:00:00-00:59:59,0.665
Sunday,01:00:00-01:59:59,0.69
Sunday,02:00:00-02:59:59,0.698
Sunday,03:00:00-03:59:59,0.628
Sunday,04:00:00-04:59:59,0.642
Sunday,05:00:00-05:59:59,0.681
Sunday,06:00:00-06:59:59,0.681
Sunday,07:00:00-07:59:59,0.636
Sunday,08:00:00-08:59:59,0.526
Sunday,09:00:00-09:59:59,0.583
Sunday,10:00:00-10:59:59,0.55
Sunday,11:00:00-11:59:59,0.509
Sunday,12:00:00-12:59:59,0.695
Sunday,13:00:00-13:59:59,0.69
Sunday,14:00:00-14:59:59,0.767
Sunday,15:00:00-15:59:59,0.736
Sunday,16:00:00-16:59:59,0.71
Sunday,17:00:00-17:59:59,0.639
Sunday,18:00:00-18:59:59,0.599
Sunday,19:00:00-19:59:59,0.604
Sunday,20:00:00-20:59:59,0.609
Sunday,21:00:00-21:59:59,0.585
Sunday,22:00:00-22:59:59,0.519
Sunday,23:00:00-23:59:59,0.598
